Movie	Mean Rating	Rating Count	Cold Index
老兵	8.6	1938	40.4711316567104
三笑	8.5	1800	40.45661548467579
棒球之爱	7.9	1101	40.42159971898908
阿德曼动画精选：超级无敌掌门狗	9.0	2606	40.41743471391497
丹东	7.9	1103	40.41118544583302
傻瓜与天使	7.9	1103	40.41118544583302
死亡约会	7.8	1008	40.409929353998734
巴黎圣母院	7.8	1013	40.38189551800828
最想念的季节	7.8	1013	40.38189551800828
青空夏季篇 前篇：山路	8.4	915	40.35973636127951
爱玛姑娘	7.8	1017	40.3595678962277
野良神 OAD4	8.7	2126	40.3566440836459
新悲惨世界	8.0	1220	40.33688132839396
人类学入门	8.0	1221	40.33212024728074
巧舌如父	8.0	1222	40.327363063901174
上课小动作OAD：倒棒游戏&猫	8.5	1840	40.320915948106446
武馆	7.8	1024	40.3207050423693
木屐树	8.8	2303	40.30934400911832
西部开拓史	7.8	1027	40.304130793510815
米奇与魔豆	8.3	926	40.29197222191957
黑骏马	8.6	1995	40.29005472859426
午夜之后狂恋	7.9	1128	40.282577128176975
金花鼠：遇见狼人	7.9	1133	40.257197772635294
古畑任三郎 公平的杀人者	8.5	1860	40.25416848318459
红楼梦	9.0	2672	40.253932722774195
午后的遗言	8.0	965	40.239930221801046
金田一少年之事件簿 剧场版1：歌剧院新杀人事件	8.0	1241	40.23770876067195
豺狼时刻	8.2	1470	40.2350042190914
梁山伯与祝英台	8.5	899	40.22398018550921
一千零一夜	7.9	1141	40.216822844878905
詹姆斯·迪恩	8.1	1357	40.214934016803106
太秦灯光下	8.1	1360	40.20194129437923
工作	8.4	1738	40.19452091386458
剧场版 破刃之剑 第三章 凶刃之痕	7.8	1051	40.173253904999854
白朗宁版本	8.6	2035	40.16604635620585
南京的基督	7.8	1054	40.157104839355725
歌剧魅影	8.2	935	40.13955005551898
机动战士高达THE ORIGIN VI 赤色彗星诞生	8.8	2365	40.139538255055925
斩	7.9	1158	40.13195790540971
沙甸鱼杀人事件	7.9	1159	40.127004721732355
勿忘我	8.2	1501	40.11070396835789
蝙蝠侠超人大电影-最佳搭档	8.3	1630	40.102792955353124
铜山毛榉案	8.9	849	40.088515570295854
扎齐坐地铁	7.9	1168	40.08261742141641
地久天长	8.0	1275	40.080647870629434
心律失常	7.8	1069	40.07704283782714
漫长的告别	8.1	1392	40.06510872223419
漫漫回家路	7.9	974	40.055650146621105
空幻之屋	7.8	1075	40.04533215787535
穿梭阴阳间	8.0	1283	40.044301236577894
谁的本领大	7.8	988	40.03719109397091
四叠半神话大系：地面潜航艇，前往女性温泉，闺房调查团桃色探索	8.4	1788	40.02146779000672
鸽群中的猫	7.8	1080	40.01904149958852
歌剧魅影	8.1	945	40.01495911626971
美少女战士S剧场版：竹姬的恋人	8.5	1938	40.0005371025626
静谧的生活	8.8	858	40.000442753404386
第二口气	8.2	931	39.991603707167954
直到世界尽头	8.2	931	39.991603707167954
行骗天下 剧场版	8.5	1941	39.99098709234924
圣哥传 OAD2	8.3	1661	39.98921132508745
一无所有	8.1	944	39.97849566552193
四月是你的谎言OAD：MOMENTS	8.5	1948	39.968761014037526
海贼王TV版特别篇：父亲宏大的理想	8.0	1300	39.96781133156948
吻	8.4	1809	39.9502240966161
一只名叫痛苦的狗	8.4	904	39.94124817510691
影子大地	8.6	2110	39.9399643853114
易布拉辛先生和古兰经的花	8.1	1422	39.939655452955364
肝脏大夫	8.0	1311	39.91884904196162
小丑之夜	8.0	1315	39.90114636513661
海贼王特别篇萨博的故事	8.4	1830	39.87980269010221
丝路花雨	9.3	802	39.879772239119404
日出城市	7.7	1012	39.869702850441804
真救世主传说北斗神拳：拉奥传激斗之章	7.7	1013	39.864178908803055
萝拉	7.9	1214	39.86096090122388
两男一女三逃犯	7.7	997	39.833363753428365
无法松的一生	8.4	1845	39.829994706302905
迪迦奥特曼&戴拿奥特曼 光之星的战士们	8.1	1451	39.820874859737174
面孔	8.0	1336	39.809081910054786
搏击太空	7.7	996	39.79900071461104
极限公益联欢会	9.2	3274	39.790672388141886
悬丝3	8.4	900	39.78886869012428
日常的0话	8.4	1863	39.770756919316554
我和托马斯	8.2	925	39.76949211797537
纽约之王	7.7	995	39.764632060340524
迪迦&戴拿&盖亚·奥特曼 超时空的大决戦	8.5	2014	39.76304319312174
蝙蝠侠大战幻影人	7.7	1032	39.76024748923278
波洛圣诞探案记	8.1	938	39.759583845460824
银河铁道之夜	8.5	2017	39.75385329258312
鸟笼	7.8	1132	39.752615751906184
家庭教师OVA：彭格列式修学旅行、来了！	7.8	1132	39.752615751906184
葬礼之后	8.3	1730	39.74382933113163
咫尺天涯	8.1	1471	39.74033239163389
世界奇妙物语 05秋之特別篇	8.0	1352	39.73990372191902
博恩霍姆大街	8.0	951	39.73689807937046
我们无法改变世界，但我们想在柬埔寨建一所学校。	7.9	1243	39.72549704017495
数码宝贝大电影四：超恶魔兽的反击	7.8	1142	39.7027858203675
庞贝古城：最后的一天	8.0	950	39.700921592058386
其他人	7.7	1045	39.690233213451336
安东尼娅家族	8.3	1747	39.68487589376728
我是江小白 剧场版	7.8	1148	39.67309687892356
战争子午线	8.4	1895	39.66684476848403
毫无线索	8.1	935	39.65004334752485
攻壳机动队SAC 2nd GIG：个别的十一人	9.3	3565	39.6479663077391
西便制	8.1	1495	39.64511463582225
最狂野的梦想：征服珠峰	8.7	2380	39.643453246623174
夕照街	7.9	1261	39.6429966312313
火之战	8.4	896	39.63638073466663
拼凑梦想	7.8	1156	39.633752090983904
礼帽	8.1	1498	39.633320040332165
天涯何处觅知音	8.0	948	39.62895026077747
迷失少女日记	7.7	991	39.627101175682334
与神对话	7.7	1057	39.626373446949984
南特的雅克·德米	9.0	2943	39.622418784351616
灌篮高手 剧场版4	8.9	2752	39.6159560613029
熟悉的陌生人	7.7	1060	39.61052178649134
铁十字勋章	7.9	1270	39.602187003353805
南方	8.2	1636	39.597742470133504
眼线	8.0	1387	39.591387809526644
皮罗斯马尼	9.0	826	39.589021780859
梦想者四夜	8.0	1388	39.58719977390492
大海盗	7.8	975	39.58355239548791
劳拉·蒙特斯	7.8	1168	39.57524251734784
信徒	7.9	1278	39.56615383669986
歌剧魅影	8.4	1927	39.56467272521659
天国车站	8.4	1930	39.55518123644909
两个英国女孩与欧陆	7.7	1071	39.55278040550726
小叛逆	8.4	1931	39.55202068515734
攻壳机动队SSS 3D	8.8	2594	39.548771038532
一个独生女的故事	7.7	1072	39.547560628689205
刑男大主厨	7.7	1073	39.542345718796625
当风吹起的时候	8.4	1938	39.52994254841481
真爱复苏	7.9	959	39.524184412528605
1985	7.9	1292	39.50363517853541
交通意外	7.7	1081	39.50080056617804
二维世界	8.0	1410	39.49581848984792
第68届NHK红白歌会	8.4	1951	39.489151049747235
耶稣基督万世巨星	8.7	2443	39.478351909204605
莫斯科保卫战	8.3	1808	39.47795978652719
灌篮高手 剧场版2	8.5	2111	39.47262078351353
一样的月光	8.1	1542	39.46299527880328
马太福音	8.5	2126	39.42890513919428
山樱	8.1	1556	39.40981899958908
绣巾蒙面盗	7.6	1003	39.4012281675664
海贼王SP：路飞落下 秘境 海肚脐的大冒险	7.9	1316	39.398019995883885
美版恐龙战队 电影版	7.6	999	39.383864266867974
中国轮盘	8.0	1438	39.381555554878425
剧场版 破刃之剑 第二章 诀别之路	7.7	1106	39.37292598708809
幽灵马车	8.2	1700	39.36918026239841
大停电之夜	7.6	1010	39.36283508732372
火焰山	8.1	1569	39.360867702572165
战火	8.2	1703	39.35867863466535
灌篮高手 剧场版3	8.4	1995	39.35307671165021
